state,fips,cases,deaths,total_open,status
Alabama,1,205366.0,0.0,0.0,1
Alaska,2,0.0,0.0,14.0,1
Arizona,4,178766.0,3626.0,0.0,1
Arkansas,5,0.0,0.0,0.0,1
California,6,1119476.0,17265.0,21.0,1
Colorado,8,0.0,0.0,13.0,1
Connecticut,9,0.0,0.0,21.0,1
Delaware,10,0.0,0.0,11.0,1
District of Columbia,11,0.0,0.0,0.0,1
Florida,12,986053.0,12276.0,18.0,1
Georgia,13,423300.0,2845.0,15.0,1
Hawaii,15,0.0,0.0,17.0,1
Idaho,16,0.0,0.0,0.0,1
Illinois,17,690591.0,9327.0,13.0,1
Indiana,18,233590.0,0.0,25.0,1
Iowa,19,108546.0,0.0,25.0,1
Kansas,20,0.0,0.0,0.0,1
Kentucky,21,0.0,0.0,19.0,1
Louisiana,22,193958.0,0.0,5.0,1
Maine,23,0.0,0.0,13.0,1
Maryland,24,142738.0,0.0,27.0,1
Massachusetts,25,63001.0,6213.0,28.0,1
Michigan,26,284336.0,4088.0,11.0,1
Minnesota,27,0.0,0.0,0.0,1
Mississippi,28,73806.0,46.0,12.0,1
Missouri,29,241172.0,0.0,0.0,1
Montana,30,0.0,0.0,0.0,1
Nebraska,31,0.0,0.0,0.0,1
Nevada,32,0.0,0.0,19.0,1
New Hampshire,33,0.0,0.0,21.0,1
New Jersey,34,240731.0,14858.0,28.0,1
New Mexico,35,0.0,0.0,0.0,1
New York,36,653861.0,30882.0,25.0,1
North Carolina,37,308294.0,0.0,10.0,1
North Dakota,38,0.0,0.0,0.0,1
Ohio,39,249646.0,0.0,26.0,1
Oklahoma,40,0.0,0.0,0.0,1
Oregon,41,0.0,0.0,0.0,1
Pennsylvania,42,281194.0,5468.0,18.0,1
Rhode Island,44,0.0,0.0,0.0,1
South Carolina,45,143261.0,0.0,24.0,1
South Dakota,46,0.0,0.0,0.0,1
Tennessee,47,394485.0,0.0,0.0,1
Texas,48,1077925.0,19902.0,25.0,1
Utah,49,0.0,0.0,0.0,1
Vermont,50,0.0,0.0,19.0,1
Virginia,51,131206.0,0.0,13.0,1
Washington,53,0.0,0.0,0.0,1
West Virginia,54,0.0,0.0,23.0,1
Wisconsin,55,272492.0,0.0,0.0,1
Wyoming,56,0.0,0.0,13.0,1
